#Date:= 2024-10-01T15:28:10.472106
#Sampling Rate(Hz):= 1000
#Labels:= LOD	ECG	TS
1	1734	20
1	1723	21
1	1700	22
1	1674	23
1	1645	24
1	1616	25
1	1596	26
1	1584	27
1	1582	28
1	1583	29
1	1293	30
1	1338	31
1	1429	32
1	1555	33
1	1700	34
1	1854	35
1	1989	36
1	2093	37
1	2162	38
1	2189	39
1	2170	40
1	2124	41
1	2048	42
1	1940	43
1	1808	44
1	1668	45
1	1529	46
1	1413	47
1	1330	48
1	1293	49
1	1310	50
1	1372	51
1	1482	52
1	1619	53
1	1764	54
1	1901	55
1	2019	56
1	2112	57
1	2177	58
1	2207	59
1	2203	60
1	2150	61
1	2053	62
1	1934	63
1	1802	64
1	1664	65
1	1539	66
1	1431	67
1	1346	68
1	1311	69
1	1322	70
1	1380	71
1	1477	72
1	1594	73
1	1724	74
1	1857	75
1	1974	76
1	2070	77
1	2133	78
1	2167	79
1	2094	100
1	2057	101
1	1989	102
1	1899	103
1	1789	104
1	1671	105
1	1555	106
1	1464	107
1	1411	108
1	1403	109
1	1438	110
1	1513	111
1	1613	112
1	1744	113
1	1895	114
1	2026	115
1	2150	116
1	2260	117
1	2329	118
1	2356	119
1	2156	80
1	2105	81
1	2024	82
1	1917	83
1	1791	84
1	1660	85
1	1548	86
1	1458	87
1	1396	88
1	1363	89
1	1382	90
1	1440	91
1	1528	92
1	1634	93
1	1749	94
1	1861	95
1	1958	96
1	2034	97
1	2086	98
1	2109	99
1	2343	120
1	2288	121
1	2188	122
1	2063	123
1	1913	124
1	1755	125
1	1611	126
1	1495	127
1	1415	128
1	1373	129
1	1384	130
1	1441	131
1	1540	132
1	1665	133
1	1817	134
1	1948	135
1	2070	136
1	2166	137
1	2245	138
1	2275	139
1	2264	140
1	2215	141
1	2142	142
1	2040	143
1	1922	144
1	1787	145
1	1662	146
1	1558	147
1	1487	148
1	1450	149
1	1456	150
1	1498	151
1	1568	152
1	1669	153
1	1790	154
1	1920	155
1	2039	156
1	2143	157
1	2220	158
1	2264	159
1	2255	160
1	2196	161
1	2115	162
1	2005	163
1	1881	164
1	1747	165
1	1639	166
1	1551	167
1	1489	168
1	1471	169
1	1492	170
1	1552	171
1	1634	172
1	1739	173
1	1868	174
1	1984	175
1	2096	176
1	2187	177
1	2253	178
1	2277	179
1	2265	180
1	2204	181
1	2115	182
1	1998	183
1	1860	184
1	1719	185
1	1602	186
1	1512	187
1	1466	188
1	1467	189
1	1507	190
1	1589	191
1	1710	192
1	1857	193
1	2009	194
1	2157	195
1	2282	196
1	2368	197
1	2428	198
1	2444	199
1	2415	200
1	2345	201
1	2243	202
1	2105	203
1	1951	204
1	1791	205
1	1643	206
1	1521	207
1	1432	208
1	1391	209
1	1402	210
1	1458	211
1	1555	212
1	1690	213
1	1850	214
1	2004	215
1	2151	216
1	2278	217
1	2372	218
1	2425	219
1	2247	240
1	2208	241
1	2127	242
1	2022	243
1	1895	244
1	1760	245
1	1634	246
1	1529	247
1	1454	248
1	1424	249
1	1433	250
1	1485	251
1	1577	252
1	1690	253
1	1825	254
1	1961	255
1	2081	256
1	2183	257
1	2255	258
1	2286	259
1	2422	220
1	2382	221
1	2300	222
1	2179	223
1	2043	224
1	1914	225
1	1780	226
1	1660	227
1	1566	228
1	1507	229
1	1498	230
1	1530	231
1	1584	232
1	1683	233
1	1798	234
1	1926	235
1	2043	236
1	2136	237
1	2206	238
1	2246	239
1	2209	280
1	2168	281
1	2090	282
1	1975	283
1	1842	284
1	1710	285
1	1587	286
1	1490	287
1	1426	288
1	1404	289
1	1431	290
1	1500	291
1	1603	292
1	1731	293
1	1877	294
1	2013	295
1	2143	296
1	2253	297
1	2323	298
1	2354	299
1	2273	260
1	2215	261
1	2125	262
1	1995	263
1	1855	264
1	1706	265
1	1570	266
1	1458	267
1	1381	268
1	1357	269
1	1384	270
1	1450	271
1	1546	272
1	1665	273
1	1799	274
1	1933	275
1	2050	276
1	2133	277
1	2192	278
1	2219	279
1	2345	300
1	2288	301
1	2183	302
1	2052	303
1	1907	304
1	1751	305
1	1608	306
1	1490	307
1	1407	308
1	1360	309
1	1359	310
1	1415	311
1	1513	312
1	1644	313
1	1782	314
1	1934	315
1	2066	316
1	2181	317
1	2273	318
1	2325	319
1	2332	340
1	2292	341
1	2205	342
1	2079	343
1	1924	344
1	1762	345
1	1611	346
1	1492	347
1	1412	348
1	1371	349
1	1393	350
1	1454	351
1	1531	352
1	1661	353
1	1783	354
1	1922	355
1	2026	356
1	2114	357
1	2169	358
1	2192	359
1	2188	340
1	2146	341
1	2067	342
1	1957	343
1	1827	344
1	1673	345
1	1549	346
1	1442	347
1	1371	348
1	1346	349
1	1372	350
1	1440	351
1	1531	352
1	1657	353
1	1803	354
1	1952	355
1	2090	356
1	2205	357
1	2291	358
1	2331	359
1	2330	360
1	2278	361
1	2183	362
1	2057	363
1	1918	364
1	1764	365
1	1622	366
1	1503	367
1	1426	368
1	1398	369
1	1420	370
1	1489	371
1	1597	372
1	1737	373
1	1890	374
1	2040	375
1	2168	376
1	2273	377
1	2339	378
1	2358	379
1	2336	400
1	2271	401
1	2173	402
1	2053	403
1	1912	404
1	1763	405
1	1625	406
1	1505	407
1	1421	408
1	1370	409
1	1380	410
1	1436	411
1	1530	412
1	1659	413
1	1809	414
1	1953	415
1	2088	416
1	2200	417
1	2288	418
1	2333	419
1	2327	400
1	2283	401
1	2200	402
1	2082	403
1	1947	404
1	1813	405
1	1673	406
1	1557	407
1	1476	408
1	1431	409
1	1437	410
1	1486	411
1	1574	412
1	1688	413
1	1827	414
1	1955	415
1	2078	416
1	2178	417
1	2258	418
1	2302	419
1	2314	420
1	2277	421
1	2192	422
1	2079	423
1	1947	424
1	1812	425
1	1683	426
1	1582	427
1	1511	428
1	1479	429
1	1487	430
1	1539	431
1	1629	432
1	1747	433
1	1881	434
1	2010	435
1	2132	436
1	2235	437
1	2314	438
1	2353	439
1	2352	440
1	2313	441
1	2236	442
1	2119	443
1	1987	444
1	1834	445
1	1690	446
1	1572	447
1	1481	448
1	1438	449
1	1450	450
1	1505	451
1	1605	452
1	1737	453
1	1884	454
1	2027	455
1	2165	456
1	2286	457
1	2369	458
1	2419	459
