#Date:= 2024-10-01T15:24:32.792675
#Sampling Rate(Hz):= 1000
#Labels:= LOD	ECG	TS
1	1776	20
1	878	21
1	669	22
1	512	23
1	432	24
1	422	25
1	467	26
1	561	27
1	699	28
1	936	29
1	1247	30
1	1612	31
1	1969	32
1	2264	33
1	2472	34
1	2536	35
1	2485	36
1	2268	37
1	1937	38
1	1596	39
1	1269	60
1	982	61
1	751	62
1	586	63
1	483	64
1	455	65
1	495	66
1	598	67
1	743	68
1	981	69
1	1298	70
1	1661	71
1	2009	72
1	2296	73
1	2495	74
1	2539	75
1	2479	76
1	2260	77
1	1923	78
1	1581	79
1	1264	80
1	970	81
1	734	82
1	576	83
1	485	84
1	461	85
1	497	86
1	586	87
1	715	88
1	940	89
1	1246	90
1	1602	91
1	1948	92
1	2232	93
1	2428	94
1	2493	95
1	2419	96
1	2196	97
1	1869	98
1	1523	99
1	1281	60
1	1005	61
1	790	62
1	644	63
1	567	64
1	541	65
1	584	66
1	667	67
1	806	68
1	1036	69
1	1341	70
1	1688	71
1	2028	72
1	2314	73
1	2504	74
1	2558	75
1	2496	76
1	2273	77
1	1942	78
1	1595	79
1	1194	100
1	903	101
1	678	102
1	521	103
1	441	104
1	426	105
1	459	106
1	544	107
1	670	108
1	900	109
1	1223	110
1	1595	111
1	1953	112
1	2250	113
1	2448	114
1	2513	115
1	2445	116
1	2230	117
1	1896	118
1	1551	119
1	1218	120
1	912	121
1	690	122
1	525	123
1	441	124
1	425	125
1	468	126
1	561	127
1	698	128
1	932	129
1	1245	130
1	1612	131
1	1967	132
1	2264	133
1	2477	134
1	2537	135
1	2488	136
1	2273	137
1	1939	138
1	1584	139
1	1245	140
1	949	141
1	705	142
1	531	143
1	423	144
1	386	145
1	408	146
1	483	147
1	612	148
1	839	149
1	1159	150
1	1529	151
1	1895	152
1	2210	153
1	2454	154
1	2570	155
1	2558	156
1	2419	157
1	2134	158
1	1841	159
1	1556	160
1	1310	161
1	1131	162
1	1022	163
1	991	164
1	1023	165
1	1116	166
1	1261	167
1	1448	168
1	1705	169
1	2027	170
1	2386	171
1	2712	172
1	2997	173
1	3130	174
1	3130	175
1	3067	176
1	2789	177
1	2410	178
1	1990	179
1	1590	180
1	1225	181
1	914	182
1	681	183
1	532	184
1	461	185
1	455	186
1	507	187
1	613	188
1	827	189
1	1141	190
1	1508	191
1	1869	192
1	2176	193
1	2394	194
1	2482	195
1	2435	196
1	2237	197
1	1917	198
1	1569	199
1	1242	200
1	938	201
1	692	202
1	513	203
1	407	204
1	374	205
1	397	206
1	478	207
1	612	208
1	837	209
1	1147	210
1	1511	211
1	1869	212
1	2171	213
1	2397	214
1	2496	215
1	2449	216
1	2255	217
1	1933	218
1	1589	219
1	1267	220
1	971	221
1	718	222
1	587	223
1	484	224
1	456	225
1	490	226
1	578	227
1	704	228
1	924	229
1	1239	230
1	1596	231
1	1949	232
1	2245	233
1	2458	234
1	2525	235
1	2480	236
1	2271	237
1	1946	238
1	1600	239
1	1268	240
1	979	241
1	747	242
1	587	243
1	495	244
1	472	245
1	503	246
1	586	247
1	710	248
1	929	249
1	1231	250
1	1593	251
1	1957	252
1	2266	253
1	2491	254
1	2558	255
1	2509	256
1	2296	257
1	1959	258
1	1605	259
1	1286	260
1	996	261
1	756	262
1	589	263
1	494	264
1	470	265
1	502	266
1	586	267
1	715	268
1	942	269
1	1254	270
1	1620	271
1	1983	272
1	2289	273
1	2509	274
1	2596	275
1	2563	276
1	2390	277
1	2069	278
1	1725	279
1	1398	280
1	1098	281
1	855	282
1	680	283
1	582	284
1	546	285
1	584	286
1	657	287
1	769	288
1	980	289
1	1280	290
1	1644	291
1	2003	292
1	2323	293
1	2535	294
1	2617	295
1	2575	296
1	2394	297
1	2083	298
1	1751	299
1	1436	300
1	1143	301
1	902	302
1	726	303
1	617	304
1	581	305
1	600	306
1	676	307
1	803	308
1	1029	309
1	1332	310
1	1694	311
1	2048	312
1	2349	313
1	2552	314
1	2622	315
1	2571	316
1	2382	317
1	2061	318
1	1719	319
1	1410	320
1	1118	321
1	867	322
1	734	323
1	647	324
1	626	325
1	666	326
1	757	327
1	900	328
1	1123	329
1	1424	330
1	1776	331
1	2126	332
1	2432	333
1	2636	334
1	2716	335
1	2669	336
1	2487	337
1	2158	338
1	1836	339
1	1668	360
1	1372	361
1	1132	362
1	948	363
1	836	364
1	810	365
1	854	366
1	949	367
1	1085	368
1	1310	369
1	1616	370
1	1978	371
1	2343	372
1	2644	373
1	2856	374
1	2945	375
1	2892	376
1	2697	377
1	2391	378
1	2038	379
1	1521	340
1	1238	341
1	1009	342
1	846	343
1	758	344
1	734	345
1	769	346
1	860	347
1	998	348
1	1226	349
1	1544	350
1	1908	351
1	2276	352
1	2584	353
1	2802	354
1	2894	355
1	2851	356
1	2663	357
1	2354	358
1	2000	359
1	1692	400
1	1398	401
1	1151	402
1	959	403
1	848	404
1	797	405
1	808	406
1	865	407
1	977	408
1	1178	409
1	1466	410
1	1809	411
1	2152	412
1	2446	413
1	2642	414
1	2719	415
1	2678	416
1	2509	417
1	2192	418
1	1856	419
1	1724	380
1	1432	381
1	1188	382
1	1011	383
1	904	384
1	869	385
1	885	386
1	952	387
1	1062	388
1	1257	389
1	1535	390
1	1878	391
1	2222	392
1	2535	393
1	2745	394
