#Date:= 2024-10-01T15:11:15.847739
#Sampling Rate(Hz):= 1000
#Labels:= LOD	ECG	TS
1	128	20
1	128	21
1	128	22
1	128	23
1	128	24
1	128	25
1	128	26
1	184	27
1	1327	28
1	2931	29
1	3130	30
1	3130	31
1	3130	32
1	3130	33
1	759	34
1	709	35
1	698	36
1	731	37
1	808	38
1	924	39
1	1078	40
1	1245	41
1	1417	42
1	1570	43
1	1660	44
1	1712	45
1	1711	46
1	1665	47
1	1579	48
1	1443	49
1	1296	50
1	1159	51
1	1040	52
1	958	53
1	921	54
1	914	55
1	927	56
1	963	57
1	1027	58
1	1125	59
1	1267	60
1	1431	61
1	1592	62
1	1724	63
1	1809	64
1	1841	65
1	1817	66
1	1754	67
1	1658	68
1	1507	69
1	1313	70
1	1108	71
1	914	72
1	745	73
1	627	74
1	540	75
1	503	76
1	518	77
1	580	78
1	682	79
1	821	80
1	992	81
1	1161	82
1	1305	83
1	1404	84
1	1464	85
1	1481	86
1	1428	87
1	1309	88
1	1176	89
1	1017	90
1	843	91
1	685	92
1	546	93
1	441	94
1	369	95
1	338	96
1	364	97
1	447	98
1	577	99
1	722	100
1	906	101
1	1114	102
1	1292	103
1	1384	104
1	1445	105
1	1430	106
1	1348	107
1	1222	108
1	1050	109
1	848	110
1	639	111
1	443	112
1	281	113
1	159	114
1	128	115
1	128	116
1	128	117
1	190	118
1	298	119
1	454	120
1	638	121
1	822	122
1	993	123
1	1117	124
1	1188	125
1	1201	126
1	1148	127
1	1044	128
1	900	129
1	741	130
1	582	131
1	432	132
1	300	133
1	230	134
1	186	135
1	186	136
1	238	137
1	324	138
1	448	139
1	767	180
1	945	181
1	1123	182
1	1280	183
1	1395	184
1	1446	185
1	1436	186
1	1360	187
1	1241	188
1	1088	189
1	903	190
1	700	191
1	495	192
1	313	193
1	199	194
1	135	195
1	128	196
1	152	197
1	222	198
1	314	199
1	606	140
1	775	141
1	952	142
1	1107	143
1	1224	144
1	1293	145
1	1309	146
1	1266	147
1	1157	148
1	1021	149
1	849	150
1	677	151
1	518	152
1	395	153
1	305	154
1	247	155
1	227	156
1	257	157
