#Date:= 2024-10-01T15:14:31.968602
#Sampling Rate(Hz):= 1000
#Labels:= LOD	ECG	TS
1	2776	20
1	2784	21
1	2773	22
1	1933	23
1	1828	24
1	1724	25
1	1644	26
1	1586	27
1	1555	28
1	1553	29
1	1570	30
1	1594	31
1	1620	32
1	1652	33
1	1692	34
1	1756	35
1	1849	36
1	1955	37
1	2036	38
1	2082	39
1	2100	60
1	2066	61
1	1994	62
1	1883	63
1	1764	64
1	1666	65
1	1594	66
1	1537	67
1	1493	68
1	1473	69
1	1476	70
1	1490	71
1	1529	72
1	1573	73
1	1633	74
1	1712	75
1	1817	76
1	1922	77
1	2011	78
1	2071	79
1	2093	80
1	2071	81
1	2018	82
1	1914	83
1	1800	84
1	1703	85
1	1625	86
1	1557	87
1	1506	88
1	1478	89
1	1479	90
1	1507	91
1	1546	92
1	1593	93
1	1647	94
1	1723	95
1	1823	96
1	1930	97
1	2021	98
1	2079	99
1	2093	80
1	2067	81
1	1994	82
1	1888	83
1	1777	84
1	1690	85
1	1621	86
1	1582	87
1	1555	88
1	1547	89
1	1555	90
1	1579	91
1	1607	92
1	1643	93
1	1687	94
1	1760	95
1	1856	96
1	1946	97
1	2019	98
1	2071	99
1	2105	100
1	2090	101
1	2032	102
1	1944	103
1	1847	104
1	1762	105
1	1688	106
1	1623	107
1	1573	108
1	1549	109
1	1548	110
1	1566	111
1	1605	112
1	1643	113
1	1693	114
1	1769	115
1	1867	116
1	1959	117
1	2036	118
1	2084	119
1	2099	120
1	2068	121
1	1993	122
1	1882	123
1	1769	124
1	1686	125
1	1618	126
1	1575	127
1	1531	128
1	1503	129
1	1508	130
1	1527	131
1	1569	132
1	1611	133
1	1665	134
1	1739	135
1	1832	136
1	1913	137
1	1985	138
1	2030	139
1	2043	140
1	2014	141
1	1948	142
1	1855	143
1	1750	144
1	1674	145
1	1608	146
1	1564	147
1	1533	148
1	1521	149
1	1531	150
1	1556	151
1	1589	152
1	1625	153
1	1665	154
1	1733	155
1	1818	156
1	1914	157
1	1995	158
1	2051	159
1	2074	160
1	2061	161
1	2007	162
1	1909	163
